playerId,displayName,height,weight,dob,position,origin
2021661124,"Berry, Sam",181,81,12-Feb-2002,"Midfield, Forward",Gippsland Power
2012662083,"Brown, Luke",181,81,22-Sep-1992,Defender,Norwood
2020665315,"Butts, Jordon",198,83,31-Dec-1999,Defender,Murray Bushrangers
2021678665,"Cook, Brayden",189,80,18-Jul-2002,"Midfield, Forward",South Adelaide
2019683521,"Davis, Ben",187,85,19-May-1997,Forward,UNSW
2018689604,"Doedee, Tom",188,88,1-Mar-1997,Defender,Geelong Falcons
2018704381,"Fogarty, Darcy",193,94,25-Sep-1999,Forward,Glenelg
2018703883,"Frampton, Billy",200,90,20-Nov-1996,Forward,South Fremantle
2021712671,"Gollant, Lachlan",191,72,12-Sep-2001,"Defender, Midfield",Calder Cannons
2020728148,"Hamill, Will",186,71,17-Nov-2000,Defender,Dandenong Stingrays
2019721038,"Hately, Jackson",190,83,21-Oct-2000,Midfield,Central District
2018722651,"Himmelberg, Elliott",198,94,4-Jun-1998,Forward,Redlands
2019722465,"Hinge, Mitch",190,84,26-Jun-1998,Midfield,Glenelg
2019748529,"Jones, Chayce",180,77,14-Jan-2000,Forward,Launceston
2016755444,"Keays, Ben",185,89,23-Feb-1997,Forward,Brisbane Reserves
2015754078,"Kelly, Jake",190,89,21-Jan-1995,Defender,Oakleigh Chargers
2013762245,"Laird, Rory",177,81,29-Dec-1993,Defender,West Adelaide
2010763943,"Lynch, Tom",193,88,15-Sep-1990,Forward,Sandringham Dragons
2008774238,"Mackay, David",181,78,25-Jul-1988,"Defender, Midfield",Oakleigh Chargers
2020773834,"McAdam, Shane",181,78,28-May-1995,Forward,Sturt
2020777569,"McHenry, Ned",179,70,13-Jul-2000,Midfield,Geelong Falcons
2020772453,"McPherson, Andrew",186,79,20-Jun-1999,Defender,Woodville-West Torrens
2018774782,"Murphy, Lachlan",176,76,4-Dec-1998,Forward,Adelaide Football Club
2021778762,"Murray, Nick",195,97,18-Dec-2000,Defender,Allies
2016798113,"OBrien, Reilly",202,101,20-Aug-1995,Ruck,Calder Cannons
2021793759,"OConnor, Ronin",191,85,1-Feb-2001,Midfield,Claremont
2021804782,"Pedlar, Luke",183,80,17-May-2002,Midfield,Glenelg
2021823478,"Rowe, James",173,73,17-Sep-1999,Forward,Woodville-West Torrens
2020839071,"Schoenberg, Harry",180,78,21-Feb-2001,Midfield,Woodville-West Torrens
2012834096,"Seedsman, Paul",190,87,22-Jan-1992,Midfield,Eastern Ranges
2020838794,"Sholl, Lachlan",185,77,7-Mar-2000,Defender,Calder Cannons
2009835778,"Sloane, Rory",182,83,17-Mar-1990,Midfield,Eastern Ranges
2011832909,"Smith, Brodie",189,90,14-Jan-1992,Defender,Woodville-West Torrens
2020831323,"Strachan, Kieran",204,95,5-Oct-1995,"Forward, Ruck",Port Melbourne
2021845288,"Thilthorpe, Riley",200,99,7-Jul-2002,"Forward, Ruck",West Adelaide
2009877055,"Walker, Taylor",193,100,25-Apr-1990,Forward,Broken Hill North
2021873869,"Worrell, Josh",195,74,11-Apr-2001,"Defender, Forward",Sandringham Dragons
2016652575,"Adams, Marcus",192,93,30-Jun-1993,Defender,West Perth
2016654616,"Ah Chee, Callum",182,78,9-Oct-1997,Defender,South Fremantle
2015656514,"Andrews, Harris",201,100,11-Dec-1996,Defender,Aspley
2018665491,"Bailey, Zac",182,83,23-Sep-1999,"Defender, Midfield",Norwood
2020661851,"Ballenden, Connor",200,101,29-Mar-1999,Forward,Brisbane Academy
2017669695,"Berry, Jarrod",193,89,5-Feb-1998,Midfield,North Ballarat Rebels
2020669775,"Berry, Tom",185,76,1-May-2001,Forward,Gwv Rebels
2006668040,"Birchall, Grant",193,89,28-Jan-1988,Defender,Devonport
2014678070,"Cameron, Charlie",181,74,5-Jul-1994,Forward,Swan Districts
2015671937,"Cockatoo, Nakia",186,89,23-Oct-1996,"Midfield, Forward",Nt Thunder
2020674302,"Coleman, Keidean",183,75,31-Mar-2000,"Midfield, Forward",Brisbane
